label,title,link,body,words_count
Food,How to Eat Healthy When Your Partner Doesn't Want To,https://www.foodnetwork.com/healthyeats/healthy-tips/how-to-eat-healthy-when-partner-doesnt,"The people you’re surrounded by can play a significant role in your food choices. This is especially the case with your significant other, because you’re likely sharing lots of meal times together. If your eating habits don’t align, you may end up cooking completely different meals or ordering out from different places. Something meant to be fun, like going out for brunch, can start to become stressful if your partner isn’t open to your new ways of eating. I’ve had many clients who are motivated to eat healthier and have tried everything to get their partners onboard. Oftentimes, this can result in tension or arguments if there isn’t open communication about where the other person is coming from. Here are some strategies that I’ve used in my nutrition practice that may be helpful for navigating this with your partner. Being Pushy Usually Doesn’t Work. You are your own person, and it’s OK to not want to do the same things as your partner, even if you think it’s good for them. When we get close to someone, it can be really exciting to share activities together, including cooking and going out to eat. We can still do these things while creating and honoring boundaries. There could be a number of reasons your partner doesn’t want to get onboard with how you’re eating. This doesn’t mean that they don’t care about their health or don’t want to support you in making changes. Whether or not you agree with their reasoning, you should respect where they’re at without judgment. In my experience, making lifestyle changes to please someone else is usually short-lived, because the person doing these changes doesn’t have that intrinsic motivation. Making your partner feel bad because they’re not eating vegetables or exercising regularly will likely not result in long-term change. Focus on You. Making lasting lifestyle changes is hard enough, so instead of putting energy into getting someone else on board, redirect that energy back into yourself. You’ll save yourself a lot of stress and frustration, and you can use this as an opportunity to explore your food needs a little deeper. What foods do you enjoy eating? Which eating patterns help you feel your best? Are there foods considered “healthy” that you actually don’t like? These questions are a great way to explore your unique sweet spot that honors pleasure and nutrition. Instead of focusing on what you (or others) should be eating, you’ll be able to develop a deeper understanding of what makes you feel your best. Enjoy Food Differently but Together. Eating different meals doesn’t mean you can’t bond over food. You can still go food shopping together, taking into account each of your preferences and dislikes. Cooking can be a great opportunity to spend time together and foster gratitude for the food you’re eating. If this is something you’re both into, you can set aside time each week to cook up a good meal in the kitchen. Similarly, if ordering out is your thing, you can both look up places that offer food options for the both of you. As a registered dietitian/nutritionist and Certified Diabetes Educator, Wendy Lopez, MS, RDN, CDCES is passionate about accessible and culturally relevant nutrition education. She is the co-host of the Food Heaven Podcast, and the co-founder of Food Heaven, an online platform that provides resources on cooking, intuitive eating, wellness and inclusion. When not working on creative projects, Wendy also provides nutritional counseling and medication management to patients with diabetes. *This article was written and/or reviewed by an independent registered dietitian nutritionist. Related Links: Foods We Should All Be Eating More Of What to Do Instead of Health Challenges How Much Water Do You Really Need? ",618
Food,"Up, Up and Away! Pack These Nutrition Tips Next Time You Fly",https://www.foodnetwork.com/healthyeats/healthy-tips/2014/11/up-up-and-away-pack-these-nutrition-tips-next-time-you-fly,"Whether you're traveling home for the holidays, getting away on vacation, or are a frequent flyer, air travel presents a common challenge to healthy eating. Understanding the unique needs of your body in flight, along with a little bit of planning, can go a long way in getting you to your destination energized, not exhausted. Arrive at the Airport Well Fed Start your trip on the right foot by eating a nutritious meal before you head out to the airport. Even if you're a last-minute packer, you can whip up something quick, and by eating a satisfying meal before leaving home, you can minimize the number of eating decisions you need to make while traveling.     • Breakfast Burrito     • Yogurt-Berry Parfait     • Veggie Stack Pita Pockets     • Kale and Apple Salad  Bring Portable, Non-Perishable Nutritious Snacks Most people eat every three to five hours, so if you're flying during the day, odds are you're flying during a meal time. If you can find a nutritious option at the airport to bring on your flight, such as a salad, great. But many times you're dealing with limited options – most of which are not that healthy – so packing a mini-meal or snack can be a great backup. When crafting a suitable snack, consider eating foods rich in antioxidants, which may help you avoid getting sick (remember the recycled air and the sneezing person behind you). Additionally, if you're trying to get some shut-eye, certain options may be more effective in promoting a relaxed state – foods with complex carbs, calcium, vitamin B6, tryptophan and more.     Here are a few portable snacks to consider that fill the bill:   • Trail mix including almonds, walnuts or pistachios, like this Goji Berry Trail Mix     • Fresh berries with yogurt or a piece of string cheese       • Hummus and pretzels or red/orange bell pepper slices       • Any salad including dark, leafy greens (one can dream!)       • Homemade Granola Bars or Fig and Walnut Bars      • Smoky Kale Chips      • Cucumber and Tomato Sandwich with Garlic White Bean Hummus Drink the Right Fluids The stress of flying makes staying hydrated equally important – and many people are boarding the plane already dehydrated. Consider your average trip to the airport: After you leave the house, when is the next time you have a drink? To ensure that you fly, and land, well hydrated: • Bring an empty water bottle through airport security. • Drink a full bottle of water (16 to 20 fluid ounces) before getting on board. • Drink one bottle of water at least every two to three hours while flying (and not sleeping). If you're on a red-eye and trying to get some sleep, chamomile and passion fruit teas may be helpful in calming you. Bring the tea bag from home and ask for hot water while flying. While tart cherry juice would be another great option – as it has been shown to be beneficial with melatonin production and antioxidants – it may be difficult to get while traveling. Two drink ingredients to watch out for: alcohol and caffeine. Any amount of alcohol is dehydrating and increases stress on your body, so avoid it if you can. Caffeine intake should be minimized if you’re trying to sleep, and excessive amounts may stress the body as well. Two Last Considerations Two other ways you can help your body deal with the stresses of flying involve exercise and sleep: • While consistent physical activity generally keeps your immune system strong, you may not want to perform exhaustive exercise (think high-intensity intervals, half Ironmans, etc.) within 12 hours before flying, as your immune system may be compromised following an intensely stressful bout of activity. • Get a good night's sleep before a morning flight, and try to take at least one power nap (30 to 45 minutes) during a red-eye if you can't get comfortable for a longer rest. Through his book and blog, Death of the Diet, Jason Machowsky, MS, RD, CSCS, strongpowers people to live the life they want by integrating healthy eating and physical activity habits into their daily routines. You can follow him on Twitter  @JMachowskyRDFit.",695
Food,The Chef's Take: Grains and Egg Bowl from Camille Becerra,https://www.foodnetwork.com/healthyeats/restaurants/2014/09/the-chefs-take-grains-and-egg-bowl-from-camille-becerra,"Here's something you may not know about Camille Becerra, chef at the stylish New American seafood restaurant, Navy, in New York City's SoHo. Becerra studied macrobiotic cooking, prepared meals to heal cancer patients in Philadelphia and lived at a Zen monastery in New Mexico where she cooked vegetarian meals for the monks, sourcing ingredients from the on-premises garden. ""Through macrobiotic cooking, I saw the importance of food as a source of health,"" she says. ""I am always very interested in how food can heal and prevent illness."" At Navy, Becerra offers a menu that caters to locavore hipsters, with seasonal plates like black bass crudo with rhubarb and pine nuts, tilefish with tomato, avocado and almonds, and soft-shell crab with squash-blossom pancakes. But she's also partial to her macrobiotic roots. For the lunch menu, Becerra added this bowl of grains and eggs with an eye toward offering guests a midday meal that would energize. ""During the day, you don't want something super-rich that will potentially slow you down,"" she says. ""For the lunch menu, I focused on lighter dishes with lots of vegetables and superfoods."" The grains bowl is the perfect example of this philosophy at work. She uses a combination of assorted super grains -- red rice, quinoa, farro, wheatberries and brown rice -- and tosses them with fresh herbs. The grains are spooned over some sumac yogurt, then topped off with avocado, carrots, beets and root vegetables -- whatever's in season. A poached egg, some pickled shallots and lightly dressed greens crown the dish. Says Becerra: ""It’s good for you, it's full of flavor and it gives you the fuel you need for your day.""  Grains and Egg Bowl This isn't so much a recipe as a general formula: The beauty of this dish is its versatility. So use any cooked grains you have on hand and whatever vegetables are in season. Add some yogurt, greens and an egg on top, and you are all set.  Here's how Becerra says she proceeds:     I. Whole Grains   A mix of 2 or 3 types of cooked grains is lovely, for example; farro, red/brown/black rice, quinoa, wheatberries.     II. Roasted Vegetables   A mix also works very well, and I especially love the sweetness that root vegetables and squashes bring to the egg bowl, for example; carrots, beets, parsnips, butternut squash.     III. Savory Yogurt   Something magical happens when you mix sea salt and yogurt. With the addition of mild spices or herbs, you can create your own savory yogurt, for example: dill, dandelion, parsley, ground fennel or coriander seed. I always like to add a drop of honey or agave to balance the tartness of the yogurt. I am currently obsessed with sumac yogurt.     Sumac Yogurt       1 cup Greek (strained) yogurt       2 pinches sumac       1 pinch sea salt       ¼  teaspoon agave       IV. Fresh Greens and Herbs   Generally, I like to use watercress for its spicy bite and a mix of sliced scallions, chives and parsley. There are so many options for this fresh element to the egg bowl. Toss them slightly in olive oil, sea salt and a drop or two of lemon juice.     V. The Egg   At Navy, we serve the egg bowl with a poached egg, but a fried egg is also so wonderful. A pinch of chili powder atop of the egg is key. Finally, drizzle it all with some fruity olive oil and sea salt. A real pleaser for breakfast, lunch or dinner. Andrea Strong is a freelance writer whose work often appears in Edible Brooklyn and Edible Manhattan. She's probably best known as the creator of The Strong Buzz, her food blog about New York City restaurants. She lives in Brooklyn with her two kids, her husband and her big appetite.  Photos by Nicole Franzen",627
Food,Is Sweet Potato Toast the New Avocado Toast?,https://www.foodnetwork.com/healthyeats/2017/02/is-sweet-potato-toast-the-new-avocado-toast,"Thanks to the social mediasphere, sweet potato toast has emerged as one of the biggest food fads of the last several months. The concept of simply toasting a sliced sweet potato intrigued me, so I had to check out what the frenzy is all about. While I wouldn’t say sweet potato toast resembles toasted bread, it is an easy and delicious way to add more vegetables to your day, especially if you love sweet potatoes like I do. Plus, that vibrant color is sure to bring joy to mealtime. Here is what you need to know about sweet potato toast. Nutritional benefits of sweet potatoes Beta-carotene, the nutrient that the body converts into vitamin A, reigns as the nutritional crown jewel of sweet potatoes, providing more than 230% of the daily value in just one small tater. For the sake of this post, I’m using one small, 60-gram sweet potato, which is closest to the weight of a slice of bread that weighs in at 43 grams. What’s better for you: sweet potato toast or whole-wheat toast? Sweet potatoes count as a vegetable, and whole-wheat toast provides you with a serving of whole grains. Therefore, we’re not comparing apples to apples. Your body benefits from both whole grains and vegetables, since they provide different ranges of nutrients. Perhaps the most significant nutritional differences between sweet potato toast and wheat toast show up in the form of calories and certain vitamins. One small sweet potato contains half the calories as a piece of toast. Vitamins A and C don’t even register on the charts for bread, while sweet potatoes offer a good source of vitamin C and some potassium. One small sweet potato contains 12 grams carbs with 2 grams fiber, whereas a slice of store-bought 100% whole-wheat bread provides 19 grams carbs and 3 g fiber. A significant difference? Not really. The total grams of sugar only varies by 1 gram, however the kind in bread is added sugar totaling 3/4 teaspoon, like from honey, white sugar, molasses or high fructose corn syrup. The sugar in sweet potatoes is naturally occurring inside the sweet potato. A slice of bread contains 160 milligrams sodium, whereas a sweet potato contains only 22 milligrams—a nice feature. However that difference is miniscule if you regularly eat fast food, canned soup and frozen meals, which top the charts in sodium contents. In defense of bread, though, whole grains are an excellent source of disease-fighting vitamins and minerals like manganese, selenium, magnesium and thiamin, generally beating sweet potatoes by strong margins for these nutrients. For you protein seekers, whole-wheat bread contains 4 grams, whereas a sweet potato only contains 1 gram. How to make sweet potato toast Some methods utilize a toaster, but the Food NetworkTest Kitchen found that the toasts stay together better when the taters are sliced and cooked in the oven. Follow the directions in our recipes for Sweet Potato Toast with Ricotta, Berries, Honey and Almonds or Bacon, Egg and Cheese on Sweet Potato Toast, and make a batch of the toasts that can be stored and easily reheated for up to 4 days (a great timesaver for busy weekday mornings!). What to put on sweet potato toast A variety of toppings pair well with sweet potato toast. I love to mash on avocado slices, creating sweet potato avocado toast—a double threat. Boost flavor with flaked sea salt, ground cumin or chili powder. Other favorites include hummus or pulled pork sprinkled with pomegranate arils. Or turn your chips and salsa ritual into sweet potato and salsa bruschetta. If you have a toaster oven, sprinkle feta, pecans and smoked paprika on top for a drool-worthy meal or appetizer. I also make sweet potato toast as a simple side dish to enjoy alongside dishes missing a vegetable or carb, like soup or salad. The bottom line Sweet potato toast and 100% whole-grain toast are both good for you. Most importantly they’re delicious. Rotate them in your meals for the widest range of beneficial nutrients. Michelle Dudash is a registered dietitian nutritionist, Cordon Bleu-certified chef consultant and the author of Clean Eating for Busy Families: Get Meals on the Table in Minutes with Simple and Satisfying Whole-Foods Recipes You and Your Kids Will Love.",709
Food,Are You a Healthy Snacker?,https://www.foodnetwork.com/healthyeats/2017/09/are-you-a-healthy-snacker,"We have become a snacking nation, but that doesn’t mean everyone snacks healthfully. Snacking on high calorie foods with few nutrients can lead to weight gain and unhealthy eating habits. And mindlessly munching on a bag of chips (yes, even veggie chips!) in front of the TV at night is not a healthy habit either. So how can you tell if you’re a healthy snacker? See how you answer the following 5 questions. 1. Are you having a snack or a treat? A snack is a mini meal that provides nutrients you may not be getting enough of during regular meals, such as fiber, calcium, vitamin D and potassium. A treat is a food that provides very little (if any) nutrition, but contains a lot of calories such as a doughnut or bag of potato chips. To become a healthy snacker: Think before eating. If it’s a snack, then enjoy it! If it’s a treat, ask yourself if you really need it and if not, swap it for a healthier choice. 2.Do you really need the snack? Snacks shouldn’t be eaten just for the sake of having something in your mouth or to alleviate boredom. They should be eaten if you are truly hungry, like if you go five or more hours between meals without food (not counting sleep time). To become a healthy snacker: Pre-plan snack times one to two times per day when you find yourself the hungriest 3. Are you carb-overloading? Although whole grain pretzels or crackers sound like a healthy snack, they’re more satisfying when combined with a protein or healthy fat which helps slow down digestion and keep you satisfied for longer. To become a healthy snacker: Combine carbs with protein or healthy fat such as Greek yogurt topped with berries, or whole grain crackers topped with peanut butter. 4. Are you controlling your portions? Having the right foods and the right time is important, but you also need to eat these foods in appropriate portions. Some foods are very healthy, but when eaten in large quantities can add hundreds of unnecessary calories to your day. To become a healthy snacker: Aim to have snacks between 125 to 200 calories each. Review the nutrition facts panel of packaged foods for recommended serving sizes and calories per serving. 5. Are you a packaged food snacker? Many packaged foods aren’t as healthy as they seem. Some may contain few calories…but few vitamins and minerals too. Other can be laden with artery clogging fat and loads of calories. To become a healthy snacker: Control the ingredients by preparing a few snacks at home. Here are DIY snack recipes to try: Granola BarsCrispy ChickpeasApricot Oat BarsPeach Pie SmoothieAvocado ToastTurkey Roll Ups Toby Amidor, MS, RD, CDN, is a registered dietitian and consultant who specializes in food safety and culinary nutrition. She is the author of The Greek Yogurt Kitchen: More Than 130 Delicious, Healthy Recipes for Every Meal of the Day. *This article was written and/or reviewed by an independent registered dietitian nutritionist.",504
Food,Taste Test: Frozen Macaroni and Cheese,https://www.foodnetwork.com/healthyeats/2014/10/taste-test-frozen-macaroni-and-cheese,"Are you falling for claims that many brands of frozen macaroni and cheese are reasonable options for a healthy dinner? Check out the results of this evaluation before your next trip down the freezer aisle. The Criteria We used our typical rating scale of 1 to 5 (5 being the highest) for this taste test. Each brand was evaluated based on taste and nutrition, paying special attention to calories, fat, sodium and ingredient quality. Many of the brands had both conventional oven and microwave instructions; we prepared all of them in the microwave for consistency. Weight Watcher's Smart Ones – Three Cheese Macaroni Rating: 1   Cost: $2.49 per (9-ounce) serving   Nutrition Info: 300 calories; 6 grams of fat (2.5 grams saturated); 570 milligrams sodium The Healthy Eats Take: This low-cal version of mac and cheese features firm pasta in a watery, yellow-ish, salty tasting sauce. It also has long list of ingredients with trans fats and plenty of thickeners and stabilizers – including carrageenan, cornstarch and gelatin. Stouffer’s Macaroni and Cheese Rating: 2   Cost: $4.79 per (20-ounce) container ($1.90 per 8-ounces) Nutrition Info: 320 calories; 15 grams of fat (6 grams saturated); 830 milligrams sodium The Healthy Eats Take: This brand has a distinctive mac and cheese flavor but a thick, gummy sauce and overly mushy pasta. It’s highest in sodium, with a whopping 35% of the daily recommendation in just 1 cup. It also contains partially hydrogenated oils (aka trans fats). Mom Made Meals -- Cheesy Mac Rating: 4   Cost: $4.59 per (7-ounce) serving   Nutrition Info: 230 calories; 7 grams of fat (4.5 grams saturated); 370 milligrams sodium The Healthy Eats Take: This version is made with organic ingredients including a few extra servings of veggies. It has a slightly chalky aftertaste but just the right amount of seasoning. Organic sweet potatoes and butternut squash outweigh powdered cheese and the addition of green peas along with the pasta is a nice touch. Blake's Old Fashioned Mac & Cheese Rating: 4   Cost: $3.99 per (8-ounce) serving   Nutrition Info: 370 calories; 18 grams of fat (5 grams saturated); 480 milligrams sodium The Healthy Eats Take: Complete with a crispy topping, this pasta entree has a pleasant blend of white cheeses and a creamy texture. It's highest in total fat but contains less saturated fat than many of the others (with some coming from palm oil). The cheese sauce is thickened with flour, cornstarch and whole milk. Amy's Macaroni & Cheese Rating: 4.5   Cost: $3.79 per (9-ounce) serving   Nutrition Info: 400 calories; 16 grams of fat (10 grams saturated); 640 milligrams sodium The Healthy Eats Take: Very appealing looking and super tasty! This creamy pasta was full of flavor (my kids asked for seconds of this one). It was a little over dressed with sauce but the pasta maintained a nice texture. Made with organic pasta and milk, additional ingredients were cheddar cheese, butter, rice flour and sea salt. It did lose some credit for being so high in sodium. Dana Angelo White, MS, RD, ATC, is a registered dietitian, certified athletic trainer and owner of Dana White Nutrition, Inc., which specializes in culinary and sports nutrition.",525
Food,Tips for Feeding Healthy and Happy Kids: An Interview with Ellyn Satter,https://www.foodnetwork.com/healthyeats/2012/06/tips-for-feeding-healthy-and-happy-kids-an-interview-with-ellyn-satter," If the struggle to get your kids to eat right is driving you nuts, there’s hope! We asked registered dietitian and (my all-time-favorite) child nutrition expert Ellyn Satter to weigh in. Q: Why do so many parents have trouble feeding their kids? A: Because they care so much. Parents have been brainwashed about what is good and bad nutrition-wise and feel pressured to produce a healthy child. The most important thing is the family meal. The parents’ job is to help preserve a positive attitude about eating.  It almost doesn’t matter what you’re eating as long as it’s together. Once parents can establish structure and rhythm to getting meals on the table, creativity will start to kick in and deciding what to serve gets easier. Q: When it comes to feeding kids, what’s the biggest mistake parents make? A: Parents often provide too little support and too much interference – insisting and bribery don’t work. You can’t fool a child. Parents need to trust that the child will learn to make smart decisions when it comes to what they eat. Q: What are your top 3 tips to help parents deal with picky eaters? Understand normal eating patterns. Children are naturally erratic, one day they’ll appear to love a particular food, another day they’ll treat it like poison. It takes a number of exposures for children to decide if they truly like a food. Fifteen to twenty is a popular figure, but it really may be 40 to 80 exposures.Don’t limit the menu to foods the child readily accepts. It gives them too much power. There’s nothing wrong with adjusting the meal to accommodate their abilities. For example, when serving spaghetti with meat sauce present it on the plate with the pasta, meat sauce and Parmesan cheese in separate piles to make eating it easier.Trust the child to grow into learning how to eat. Q: How do you feel about parents sneaking fruits and veggies into kids’ meals? A: Inclusion of a wide variety of foods in recipes a good thing but I don't agree with ""sneaking."" They’ll catch on and not trust you. Parents also need to lead by example: For a kid to like broccoli, someone else in the family has to eat broccoli. Q: How does the childhood obesity epidemic factor into to your philosophy? A: It’s all about the division of responsibility. The parent takes care of the what, where and when, and then trusts the child to eat and grow how nature intended. If parents push certain foods, amounts of food, or tries to restrict the amount of food children are allowed to have it can make them food preoccupied and prone to overeat. We asked Ellyn to share a recipe with us. We excitedly dug into her book Secrets of Feeding a Healthy Family and chose this easy and deliciously simple chicken dish. Ellyn recommends serving it with roasted broccoli, rice, ciabatta bread, butter, seasonal fruit and milk. Yum! Pesto-Parmesan Chicken 6 boneless, skinless chicken breast halves, about 1 ½ pounds 1 ½ cups grated Parmesan, Romano, or Asiago Cheese, about 6 ounces 6 tablespoons pesto Preheat oven to 425-degrees F. Mix 2 tablespoons grated cheese with pesto. Rub or pat pesto mixture onto chicken breast until you have a light, even coating. Sprinkle the remaining cheese onto a plate. Press both sides of the chicken into the cheese to form a coating. You will probably need to refresh your plate of grated cheese several times. Be careful that you do not contaminate your container of cheese by handling it after you have handled the raw chicken. Place chicken into a 10x6-inch baking dish. Bake for 25 minutes to an internal temperature of 165-degrees F. Tell Us: What's your biggest struggle when it comes to feeding your family?  ",634
Food,Blogger Spotlight: Kate Taylor from Cookie and Kate ,https://www.foodnetwork.com/healthyeats/2012/08/blogger-spotlight-kate-taylor-from-cookie-and-kate,"Kate is a self-taught photographer and cook from Oklahoma whose passion for food inspires readers to step into the kitchen and start cooking. With a focus on whole food, the recipes she shares on  Cookie and Kate are both nutritious and fun to make. She believes in keeping food as close to its source as possible and features exclusively vegetarian fare. Cookie is her friendly canine companion and “chief crumb catcher.” What does “whole food” mean to you and why is it important to you to eat this way? Whole food, to me, basically just means real food that is as close to its source as possible. In other words, whole food is minimally processed and doesn't contain unnecessary junk like preservatives, chemicals or pesticides. Naturally, whole foods are better for us, too. Whole grains retain the nutrients and good fats that processing removes. And fresh, quality ingredients taste better! You can make an incredible meal with just a few great ingredients. That's why I say my blog ""celebrates whole foods,"" because I believe that food should both delight the senses and nourish the body. Whole foods can do that. What made you start your blog, Cookie and Kate? How has it evolved since you started? A couple of years ago, I was stuck in a stifling desk job and decided I needed a creative project. Photography had long been one of my favorite hobbies, but my camera was gathering dust on a shelf. I read a lot of blogs in my free time, so I decided to start one of my own. I picked a name that I thought would be memorable, designed it myself and started posting about a variety of subjects: life, design, etc. Coincidentally, around that time I was developing more of an interest in food and cooking. I had been reading a lot of Michael Pollan, I'd given up meat and started experimenting more in the kitchen. I posted my favorite salsa recipe and got such a nice response that I started posting more and more recipes. Cookie and Kate eventually evolved into a full-fledged food blog, and I couldn't be happier about it. What do you like best about blogging? To me, food blogging is just the greatest creative outlet—it combines my love for cooking, photography, writing and web design. I also enjoy connecting with others over our shared love for food. I've become friends with wonderful people around the world through my blog. It's pretty amazing. What is your favorite cuisine to cook? Oh, this is tough. I generally love spicy, flavorful food that is full of fresh produce and herbs. I'm not sure any of my recipes could be considered authentic cuisine, but I like to cook meals with Mexican, Mediterranean or Asian influences. What is your favorite ingredient to cook with? Lately, I can't get enough coconut. Coconut milk lends creaminess to cooked grains, coconut oil is a great substitute for butter and has the most lovely coconut scent, and coconut flakes add texture and flavor to baked goods. You're a firm believer in allowing yourself occasional indulgences. What do you think is the key to splurging on treats without unraveling a healthy diet? I wish I had an exciting secret to share, but it's really all about moderation. I might go out to lunch with a friend and splurge on a big meal, but then I'll eat a salad for dinner. I prefer quality over quantity and try to eat reasonable portions, too. I've learned that I can actually get more satisfaction out of a single scoop of homemade ice cream than a big milkshake, as long as I savor every bite. Plus, I know I would feel sleepy and sluggish after eating that big milkshake, and I don't like to feel that way. Making good decisions is a lot easier when we are mindful of how different foods make us feel!",652
Food,Market Watch: Pomegranates,https://www.foodnetwork.com/healthyeats/in-season/2017/12/in-season-pomegranates,"With the advent of icy weather, the fruit selection at the market begins to look a little ho-hum. But then the festive, red pomegranate arrives on the scene. Encased in its shiny rind are hundreds of juicy, jewel-like seeds — called “arils” by those in the know. One of the oldest known fruits, pomegranates immigrated to California along with Spanish missionaries in the 1700s. Nowadays, the majority of the U.S. crop is grown in the dry San Joaquin valley. Though they’re available starting in late fall, it’s not until December that I finally take notice. Then, I find myself using these sweet-tart seeds to brighten up any number of wintry dishes.  How to Crack ‘Em Tackling a pomegranate takes a bit of know-how. Of course, you can simply split the fruit in half and laboriously tease out the seeds from the bitter, white membranes. But here’s a slightly quicker method: First, slice off the crown end with a sharp knife. Then make a series of shallow, vertical slits down the raised ridges. Break the fruit into sections and bend each section backwards to pop out the seeds. Pomegranate Facts Pomegranates are an excellent source of vitamin C, providing almost half the daily recommended value in a single serving, not to mention healthy amounts of vitamin K, folate, and potassium. They are also one of nature’s best sources of polyphenols, antioxidants that are thought to prevent both heart disease and cancer. At the market, choose shiny, deep red to purplish pomegranates that feel heavy for their size, avoiding those that are cracked or blemished. Uncut, pomegranates will last in the fridge for up to two months. You can refrigerate the seeds for about three days and freeze them up to six months. What to Do with Pomegranates A scattering of pomegranate seeds makes any dish look fancy in a flash. To make a salad fit for the holiday table, combine thinly sliced fennel, endives, and oranges, dress with a lemony vinaigrette, and garnish with fennel fronds and pomegranate seeds. For a quick winter cocktail, you can’t beat champagne or non-alcoholic cider topped with floating pomegranate seeds. You can even incorporate them into a gift for the hostess: Take your favorite chocolate bark recipe and add a shower of pomegranate seeds (press them in to help them adhere). Since the pomegranate originally hails from the Middle East, the seeds are found in many recipes from the region. Try them sprinkled over roasted chicken thighs, glazed with pomegranate molasses (a concentrated form of the juice available in higher-end grocery stores). They also lend their sweetness and crunch to grain salads: Mix them with bulgur or quinoa, toasted walnuts, lots of chopped parsley, and feta cheese. To make a comforting and ultra-healthy hot beverage, simmer pomegranate seeds in water for about 15 minutes. Serve hot, with honey and a strip of orange peel. Here are a few more seasonal ideas to inspire you: Roasted Brussels Sprouts with Pomegranates and Hazelnuts Jicama Pomegranate Salad Virgin Pomegranate and Cranberry Bellinis Pomegranate-Quinoa Pilaf",506
Food,Cedar-Plank Cooking,https://www.foodnetwork.com/healthyeats/2013/05/cedar-plank-cooking,"    I adore cooking food on a cedar plank. Why? Let me count the ways…   1. Baking on a cedar plank imparts a subtle wood flavor to meat, fish, shellfish, poultry, and vegetables, adding warmth and complexity to any dish. 2. The baking planks are designed for baking in the oven and they last for years (even if they crack, you can place them on a baking sheet to catch any juices). 3. Wooden planks belong in a healthy cook's arsenal because, once seasoned the first time, they retain their moisture and require very little, if any, fat to prevent sticking. 4. Because wooden planks retain moisture, they help maintain the natural juices in meats and vegetables, keeping the food moist as well as flavorful. Depending on where you get them (you can find food-grade cedar planks in the many grocery stores and in the cooking/gourmet section of your favorite kitchen store), baking planks typically come in two different varieties of wood, Western red cedar and alder. Cedar is more aromatic and adds a distinct woodsy flavor while alder is mild and slightly sweet. Before you use your baking plank for the first time, follow the manufacturer's instructions for ""seasoning"". It's a very simple process of oiling the plank with vegetable oil and a paper towel. You only need to oil the plank before the first use – but you can certainly add additional oils to flavor a dish before baking. For example, I seasoned the plank for the salmon below with a simple blend of rice vinegar and good-quality olive oil. The flavors on the plank blend with the wood to infuse flavor from the bottom, while an orange-teriyaki-sesame glaze imparts flavor from the top. It's a truly sensational dish that's simple to prepare yet astonishes a crowd. Trust me. Also, I nestled yellow tomatoes around the salmon because they looked particularly awesome the day I bought the fish. Feel free to use any awesome-looking vegetable you want. Great choices include zucchini, yellow squash, asparagus, bell peppers, corn, broccoli, cauliflower or green beans. *A note about barbecue planks: also designed to impart a woodsy flavor while maintaining moisture in food, these planks are intended for one use only. They also require soaking before using to prevent the wood from burning. Baking planks require no soaking. When using barbecue/grilling planks, be sure to read the manufacturer's instructions. Cedar Plank Teriyaki Salmon With Cherry Tomatoes     1 teaspoon olive oil       1 teaspoon seasoned rice vinegar       1 whole salmon fillet (salmon ""side""), about 1 1/2 pounds       Salt and freshly ground black pepper       16 yellow or red cherry tomatoes       1 tablespoon teriyaki sauce and marinade (such as La Choy)       1 tablespoon orange juice       1/2 teaspoon sesame oil       1/2 teaspoon Dijon mustard       1 teaspoon sesame seeds       1 tablespoon chopped fresh cilantro   Preheat oven to 400 degrees. In a small bowl, whisk together the olive oil and rice vinegar. Rub the mixture all over a cedar plank. Arrange the salmon on top of the oil-vinegar coating, skin side down, and season the top with salt and pepper. Arrange the tomatoes around the salmon. In a small bowl, whisk together the teriyaki sauce, orange juice, sesame oil, and Dijon mustard. Brush the mixture all over the top of the salmon. Bake for 15 minutes. Sprinkle the sesame seeds over the salmon and bake for 10 more minutes, until the salmon pulls apart with a fork. Sprinkle the top of the salmon with the cilantro and serve.     Serves 4   Nutrition Info Per Serving     Calories: 243       Total Fat: 11.5 grams       Saturated Fat: 1.8 grams       Total Carbohydrate: 4 grams       Sugars: Protein: 30 grams       Sodium: 292 milligrams       Cholesterol: 81 milligrams       Fiber: 1 gram  ",611
